Author#Title#Summary#Subjects
Shelley, Mary Wollstonecraft, 1797-1851#Frankenstein; Or, The Modern Prometheus#"""Frankenstein; Or, The Modern Prometheus"" by Mary Wollstonecraft Shelley is a novel written in the early 19th century. The story explores themes of ambition, the quest for knowledge, and the consequences of man's hubris through the experiences of Victor Frankenstein and the monstrous creation of his own making.   The opening of the book introduces Robert Walton, an ambitious explorer on a quest to discover new lands and knowledge in the icy regions of the Arctic. In his letters to his sister Margaret, he expresses both enthusiasm and the fear of isolation in his grand venture. As Walton's expedition progresses, he encounters a mysterious, emaciated stranger who has faced great suffering—furthering the intrigue of his narrative. This stranger ultimately reveals his tale of creation, loss, and the profound consequences of seeking knowledge that lies beyond human bounds. The narrative is set up in a manner that suggests a deep examination of the emotions and ethical dilemmas faced by those who dare to defy the natural order. (This is an automatically generated summary.)"#"['Science fiction', 'Horror tales', 'Gothic fiction', 'Scientists -- Fiction', 'Monsters -- Fiction', 'Frankenstein, Victor (Fictitious character) -- Fiction', ""Frankenstein's monster (Fictitious character) -- Fiction""]"
Austen, Jane, 1775-1817#Pride and Prejudice#"""Pride and Prejudice"" by Jane Austen is a classic novel written in the early 19th century. The story delves into themes of love, social class, and individual agency, largely revolving around the life of Elizabeth Bennet, one of five sisters from a modest but genteel family navigating the complex social landscape of Regency England.  The opening of the novel introduces the seemingly universal truth that a single man of wealth is a target for matchmaking mothers in the neighborhood. Mrs. Bennet is eager to marry off her daughters and is excited to hear about the arrival of Mr. Bingley, a wealthy young man who has taken up residence at Netherfield Park. Mr. Bennet's teasing yet indifferent nature contrasts sharply with Mrs. Bennet's anxious and businesslike demeanor as she plans to visit Mr. Bingley to create an opportunity for her daughters. Their witty exchanges set the tone for the story's exploration of family dynamics and social expectations, while also hinting at deeper character developments and the challenges Elizabeth will face regarding love and prejudice in her interactions with Mr. Darcy and the Bingley family. (This is an automatically generated summary.)"#['England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Sisters -- Fiction', 'Domestic fiction', 'Courtship -- Fiction', 'Social classes -- Fiction']
Irving, Washington, 1783-1859#The Legend of Sleepy Hollow#"""The Legend of Sleepy Hollow"" by Washington Irving is a classic short story from the early 19th century, specifically during the Romantic era. This tale is a blend of folklore and ghost story that takes place in the mythical village of Sleepy Hollow, where supernatural occurrences and local legends intertwine within a vividly described rural setting. The narrative centers on themes of love, rivalry, and the collision of rational thought with superstition.  The story primarily follows Ichabod Crane, a lanky schoolteacher who arrives in Sleepy Hollow to woo the beautiful Katrina Van Tassel, daughter of a wealthy farmer. However, he is met with competition from the burly Brom Bones, who is equally determined to win her affections. As Ichabod navigates his way through local superstitions and his own fear of the supernatural, he ultimately encounters the infamous Headless Horseman during a fateful ride home. The story culminates in a climactic chase that leads to Ichabod's mysterious disappearance. Through entertaining characters and a blend of humor and horror, Irving crafts a story that remains a beloved part of American literature, exploring themes of ambition, jealousy, and the power of legend. (This is an automatically generated summary.)"#['Ghosts -- Fiction', 'New York (State) -- History -- 1775-1865 -- Fiction']
Shakespeare, William, 1564-1616#Romeo and Juliet#"""Romeo and Juliet"" by William Shakespeare is a tragedy likely written during the late 16th century. The play centers on the intense love affair between two young lovers, Romeo Montague and Juliet Capulet, whose families are embroiled in a bitter feud. Their love, while passionate and profound, is met with adversities that ultimately lead to tragic consequences.  At the start of the play, a Prologue delivered by the Chorus sets the stage for the tale of forbidden love, revealing the familial conflict that surrounds Romeo and Juliet. The opening scenes depict a public brawl ignited by the feud between the Montagues and Capulets, showcasing the hostility that envelops their lives. As we are introduced to various characters such as Benvolio, Tybalt, and Mercutio, we learn of Romeo's unrequited love for Rosaline. However, this quickly changes when Romeo encounters Juliet at the Capulet ball, where they share a famous and romantic exchange, unwittingly falling in love with each other despite their families' bitter enmity. This initial encounter foreshadows the obstacles they will face as their love story unfolds amidst chaos and conflict. (This is an automatically generated summary.)"#['Vendetta -- Drama', 'Youth -- Drama', 'Verona (Italy) -- Drama', 'Juliet (Fictitious character) -- Drama', 'Romeo (Fictitious character) -- Drama', 'Conflict of generations -- Drama', 'Tragedies']
Melville, Herman, 1819-1891#Moby Dick; Or, The Whale#"""Moby Dick; Or, The Whale"" by Herman Melville is a novel written in the mid-19th century. The story follows Ishmael, a sailor on a whaling voyage, who seeks adventure and escape from his gloomy life on land. As he embarks on this journey, he becomes drawn into the complex world of whaling and is introduced to the ominous figure of Captain Ahab, whose obsession with a legendary white whale ultimately drives the narrative.  At the start of the novel, Ishmael introduces himself and shares his philosophy about the sea as a remedy for his melancholic disposition. He muses on the magnetic pull of the ocean, describing not only his own urge to set sail but also the collective longing of city dwellers for the water. Ishmael's journey takes him to New Bedford, where he experiences a series of humorous and strange encounters while seeking lodging before joining a whaling ship. As he navigates his way through the town, he is introduced to Queequeg, a tattooed harpooner with a mysterious past, setting the stage for a unique friendship that unfolds amidst the backdrop of whaling adventures. (This is an automatically generated summary.)"#['Whaling -- Fiction', 'Sea stories', 'Psychological fiction', 'Ship captains -- Fiction', 'Adventure stories', 'Mentally ill -- Fiction', 'Ahab, Captain (Fictitious character) -- Fiction', 'Whales -- Fiction', 'Whaling ships -- Fiction']
Hawthorne, Nathaniel, 1804-1864#The Scarlet Letter#"""The Scarlet Letter"" by Nathaniel Hawthorne is a classic novel written in the mid-19th century. The book delves into themes of sin, guilt, and redemption, primarily exploring the life of Hester Prynne, a woman shunned by her Puritan community after bearing an illegitimate child. Through her experiences and struggles, the narrative examines the societal and personal ramifications of moral transgressions.  At the start of the novel, the author introduces the setting, a dilapidated jail in colonial Boston, where a crowd has gathered to witness the punishment of Hester Prynne. The scene conveys a deep sense of Puritanical severity, showing the townspeople's intense scrutiny over Hester, who stands accused of adultery. Hawthorne sets a somber tone as he describes the prison and its surroundings, including a wild rosebush that offers a stark contrast to the grimness of the prison, symbolizing hope and compassion amidst human frailty. (This is an automatically generated summary.)"#['Adultery -- Fiction', 'Historical fiction', 'Revenge -- Fiction', 'Psychological fiction', 'Married women -- Fiction', 'Clergy -- Fiction', 'Triangles (Interpersonal relations) -- Fiction', 'Illegitimate children -- Fiction', 'Women immigrants -- Fiction', 'Puritans -- Fiction', 'Boston (Mass.) -- History -- Colonial period, ca. 1600-1775 -- Fiction']
Carroll, Lewis, 1832-1898#Alice's Adventures in Wonderland#"""Alice's Adventures in Wonderland"" by Lewis Carroll is a classic children's novel written in the mid-19th century. The story follows a young girl named Alice who, feeling bored and sleepy while sitting by a riverbank, encounters a White Rabbit and follows it down a rabbit hole, plunging into a fantastical world filled with curious creatures and whimsical adventures.  The opening of the book introduces Alice as she daydreams about her surroundings before spotting the White Rabbit, who is both flustered and animated. Curious, Alice pursues the Rabbit and finds herself tumbling down a deep rabbit hole, leading to a curious hall filled with doors, all locked. After experiencing a series of bizarre changes in size from eating and drinking mysterious substances, she begins exploring this new world, initially frustrated by her newfound challenges as she navigates her size and the peculiar inhabitants she meets. The narrative sets the tone for Alice's whimsical and often nonsensical adventures that characterize the entire tale. (This is an automatically generated summary.)"#"['Fantasy fiction', ""Children's stories"", 'Imaginary places -- Juvenile fiction', 'Alice (Fictitious character from Carroll) -- Juvenile fiction']"
Eliot, George, 1819-1880#Middlemarch#"""Middlemarch"" by George Eliot is a novel written in the mid-19th century that explores the lives and interactions of residents in a provincial English town. The story primarily centers around Dorothea Brooke, a young woman with high ideals and aspirations for a meaningful life, who grapples with her search for love and purpose amid societal expectations. The novel addresses themes of marriage, ambition, and the intersection of personal and social values in a rapidly changing world.  At the start of the novel, we are introduced to Miss Brooke, who is depicted as a strikingly beautiful and intelligent young woman, yet may be seen as eccentric due to her lofty aspirations and disregard for societal norms. She lives with her sister Celia and their uncle, Mr. Brooke, in a quiet country house, harboring dreams of making a significant impact on the world. As the opening chapters unfold, we see her rejection of traditional feminine pursuits and her desire to be with a man of intellect who can match her aspirations. Important characters such as the learned Reverend Edward Casaubon and the kind Sir James Chettam emerge, each representing different paths and values that will challenge Dorothea in her quest for fulfillment. The complexities of their interactions are foreshadowed early on, setting the stage for a rich exploration of human relationships and personal growth. (This is an automatically generated summary.)"#['Didactic fiction', 'City and town life -- Fiction', 'England -- Fiction', 'Young women -- Fiction', 'Love stories', 'Domestic fiction', 'Married people -- Fiction', 'Bildungsromans']
Shakespeare, William, 1564-1616#The Complete Works of William Shakespeare#"""The Complete Works of William Shakespeare"" by William Shakespeare is a collection of classic literary works written in the late 16th to early 17th centuries. This comprehensive anthology includes a wide range of genres, encompassing sonnets, comedies, histories, and tragedies, all showcasing Shakespeare's unparalleled mastery of language and character development. Important themes such as love, ambition, betrayal, and the complexities of human nature resonate throughout these timeless pieces.  At the start of this collection, the reader is immediately introduced to Shakespeare's ""Sonnets,"" which serve as an eloquent prelude to his themes of love and beauty. These opening verses explore the fleeting nature of beauty and time, with a poignant focus on the necessity of procreation to preserve youthful beauty. The sonnets address a young man of remarkable beauty and the poet's passionate urge for him to reproduce, emphasizing the tensions between self-love and the desire for legacy. Through rhythmic language and rich imagery, the sonnets present a universal contemplation on love, mortality, and the human experience, inviting readers to engage deeply with concepts that remain relevant today. (This is an automatically generated summary.)"#['English drama -- Early modern and Elizabethan, 1500-1600']
Forster, E. M. (Edward Morgan), 1879-1970#A Room with a View#"""A Room with a View"" by E. M. Forster is a novel written during the early 20th century, which explores themes of social conventions and personal freedom. Set primarily in Italy and England, the narrative follows the journey of Lucy Honeychurch, a young woman navigating her feelings about love, societal expectations, and her own desires against the backdrop of her experiences abroad.  The opening of the story introduces the character of Lucy and her cousin Charlotte Bartlett as they arrive at the Pension Bertolini in Florence. Disappointed by the accommodation’s lack of a promised view, they bicker about their arrangements. Lucy's eagerness to experience Italy conflicts with Charlotte's more cautious demeanor. Here, the reader meets Mr. Emerson and his son George, who challenge the norms of polite society, offering their rooms to Lucy and Charlotte out of kindness, which Charlotte initially declines. The tension between personal desires and societal expectations is palpable, setting the stage for Lucy's internal conflict and her eventual blossoming into independence and self-discovery. (This is an automatically generated summary.)"#['Humorous stories', 'England -- Fiction', 'Young women -- Fiction', 'British -- Italy -- Fiction', 'Florence (Italy) -- Fiction']
